Customer_Name,Total_Rentals
"ELEANOR HUNT",46
"KARL SEAL",45
"CLARA SHAW",42
"MARCIA DEAN",42
"TAMMY SANDERS",41
"SUE PETERS",40
"WESLEY BULL",40
"RHONDA KENNEDY",39
"MARION SNYDER",39
"TIM CARY",39
"ELIZABETH BROWN",38
"DAISY BATES",38
"CURTIS IRBY",38
"TOMMY COLLAZO",38
"JUNE CARROLL",37
"ELSIE KELLEY",37
"MARSHA DOUGLAS",37
"BRANDON HUEY",37
"ANGELA HERNANDEZ",36
"MARGIE WADE",36
"ROGER QUINTANILLA",36
"JUSTIN NGO",36
"RUSSELL BRINSON",36
"ALEXANDER FENNELL",36
"MICHELLE CLARK",35
"DIANE COLLINS",35
"LOIS BUTLER",35
"ALMA AUSTIN",35
"ROSEMARY SCHMIDT",35
"PRISCILLA LOWE",35
"NAOMI JENNINGS",35
"HARRY ARCE",35
"BILLY POULIN",35
"LOUIS LEONE",35
"BOBBY BOUDREAU",35
"MIKE WAY",35
"LESLIE SEWARD",35
"JESSICA HALL",34
"MELISSA KING",34
"MARTHA GONZALEZ",34
"CATHERINE CAMPBELL",34
"JANICE WARD",34
"SHERRY MARSHALL",34
"CARRIE PORTER",34
"HAZEL WARREN",34
"JOANNE ROBERTSON",34
"REGINA BERRY",34
"ANA BRADLEY",34
"GERTRUDE CASTILLO",34
"STACEY MONTGOMERY",34
"MINNIE ROMERO",34
"HEIDI LARSON",34
"RALPH MADRIGAL",34
"STEVE MACKENZIE",34
"JORGE OLIVARES",34
"BRETT CORNWELL",34
"CASEY MENA",34
"MORRIS MCCARTER",34
"MARIA MILLER",33
"ALICE STEWART",33
"JUDITH COX",33
"SARA PERRY",33
"JACQUELINE LONG",33
"CRYSTAL FORD",33
"GRACE ELLIS",33
"BERNICE WILLIS",33
"JOY GEORGE",33
"TANYA GILBERT",33
"SHERRI RHODES",33
"GEORGE LINTON",33
"SHAWN HEATON",33
"BARRY LOVELACE",33
"JIM REA",33
"ALEX GRESHAM",33
"WARREN SHERROD",33
"ARNOLD HAVENS",33
"JESSIE MILAM",33
"MARY SMITH",32
"HELEN HARRIS",32
"CYNTHIA YOUNG",32
"VIRGINIA GREEN",32
"JULIA FLORES",32
"SYLVIA ORTIZ",32
"THELMA MURRAY",32
"ETHEL WEBB",32
"MARJORIE TUCKER",32
"DEBBIE REYES",32
"VERONICA STONE",32
"SALLY PIERCE",32
"TONYA CHAPMAN",32
"GLENDA FRAZIER",32
"VIOLA HANSON",32
"COURTNEY DAY",32
"MAXINE SILVA",32
"LENA JENSEN",32
"OLGA JIMENEZ",32
"CHARLES KOWALSKI",32
"FRANK WAGGONER",32
"HAROLD MARTINO",32
"ARTHUR SIMPKINS",32
"NICHOLAS BARFIELD",32
"LEONARD SCHOFIELD",32
"NATHAN RUNYON",32
"LEROY BUSTAMANTE",32
"TOM MILNER",32
"GORDON ALLARD",32
"ANGEL BARCLAY",32
"MITCHELL WESTMORELAND",32
"NEIL RENNER",32
"JAVIER ELROD",32
"GUY BROWNLEE",32
"DAVE GARDINER",32
"SHIRLEY ALLEN",31
"LORI WOOD",31
"GLADYS HAMILTON",31
"DARLENE ROSE",31
"HOLLY FOX",31
"ELLA OLIVER",31
"KRISTIN JOHNSTON",31
"VICKIE BREWER",31
"CHRISTY VARGAS",31
"DIANNE SHELTON",31
"MAE FLETCHER",31
"JOHN FARNSWORTH",31
"CHRISTOPHER GRECO",31
"MATTHEW MAHAN",31
"PATRICK NEWSOM",31
"LAWRENCE LAWTON",31
"PHILIP CAUSEY",31
"JEFFERY PINSON",31
"THEODORE CULP",31
"ZACHARY HITE",31
"RAMON CHOATE",31
"DUANE TUBBS",31
"SHARON ROBINSON",30
"SARAH LEWIS",30
"CAROLYN PEREZ",30
"HEATHER MORRIS",30
"GLORIA COOK",30
"KATHY JAMES",30
"THERESA WATSON",30
"MARILYN ROSS",30
"WANDA PATTERSON",30
"FLORENCE WOODS",30
"TRACY COLE",30
"ROSA REYNOLDS",30
"WENDY HARRISON",30
"MONICA HICKS",30
"JUANITA MASON",30
"MICHELE GRANT",30
"GERALDINE PERKINS",30
"MABEL HOLLAND",30
"CASSANDRA WALTERS",30
"CAROLE BARNETT",30
"VIOLET RODRIQUEZ",30
"RAMONA HALE",30
"JAMES GANNON",30
"JOSEPH JOY",30
"RONALD WEINER",30
"RAYMOND MCWHORTER",30
"JOSHUA MARK",30
"WALTER PERRYMAN",30
"RYAN SALISBURY",30
"GERALD FULTZ",30
"CRAIG MORRELL",30
"CLARENCE GAMEZ",30
"STANLEY SCROGGINS",30
"MANUEL MURRELL",30
"JEFF EAST",30
"KYLE SPURLOCK",30
"TROY QUIGLEY",30
"MARCUS HIDALGO",30
"GREG ROBINS",30
"ROBERTO VU",30
"MARC OUTLAW",30
"JORDAN ARCHULETA",30
"SALVADOR TEEL",30
"TERRENCE GUNDERSON",30
"DEBORAH WALKER",29
"AMY LOPEZ",29
"DEBRA NELSON",29
"JULIE SANCHEZ",29
"TERESA ROGERS",29
"CINDY FISHER",29
"JAMIE RICE",29
"CATHY SPENCER",29
"AUDREY RAY",29
"DANA HART",29
"TERRY CARLSON",29
"HILDA HOPKINS",29
"JENNIE TERRY",29
"NINA SOTO",29
"BECKY MILES",29
"MICHAEL SILVERMAN",29
"STEVEN CURLEY",29
"JERRY JORDON",29
"JOE GILLILAND",29
"ROY WHITING",29
"TODD TAN",29
"JIMMY SCHRADER",29
"CLIFFORD BOWENS",29
"MIGUEL BETANCOURT",29
"ALVIN DELOACH",29
"HERMAN DEVORE",29
"MAURICE CRAWLEY",29
"CLYDE TOBIAS",29
"ERIK GUILLEN",29
"TED BREAUX",29
"KEN PREWITT",29
"JAIME NETTLES",29
"BYRON BOX",29
"ISAAC OGLESBY",29
"MARION OCAMPO",29
"TERRANCE ROUSH",29
"JENNIFER DAVIS",28
"NANCY THOMAS",28
"BETTY WHITE",28
"SANDRA MARTIN",28
"JOYCE EDWARDS",28
"EVELYN MORGAN",28
"JANE BENNETT",28
"RUBY WASHINGTON",28
"TINA SIMMONS",28
"ELLEN SIMPSON",28
"ESTHER CRAWFORD",28
"LUCILLE HOLMES",28
"LYNN PAYNE",28
"BRITTANY RILEY",28
"GINA WILLIAMSON",28
"BESSIE MORRISON",28
"PATSY DAVIDSON",28
"NORA HERRERA",28
"BRANDY GRAVES",28
"FELICIA SUTTON",28
"SONIA GREGORY",28
"KRISTINA CHAMBERS",28
"EDWARD BAUGH",28
"JASON MORRISSEY",28
"STEPHEN QUALLS",28
"DENNIS GILMAN",28
"JEREMY HURTADO",28
"RANDY GAITHER",28
"BRYAN HARDISON",28
"MARIO CHEATHAM",28
"BILL GAVIN",28
"DEREK BLAKELY",28
"GILBERT SLEDGE",28
"REGINALD KINDER",28
"NATHANIEL ADAM",28
"ANDRE RAPP",28
"JIMMIE EGGLESTON",28
"EVERETT BANDA",28
"JULIAN VEST",28
"TRACY HERRMANN",28
"ENRIQUE FORSYTHE",28
"PATRICIA JOHNSON",27
"KAREN JACKSON",27
"KATHLEEN ADAMS",27
"AMANDA CARTER",27
"JANET PHILLIPS",27
"JEAN BELL",27
"CHERYL MURPHY",27
"DENISE KELLY",27
"DIANA ALEXANDER",27
"VICTORIA GIBSON",27
"PAULINE HENRY",27
"AMBER DIXON",27
"MEGAN PALMER",27
"ERIN DUNN",27
"YOLANDA WEAVER",27
"JEANNE LAWSON",27
"TERRI VASQUEZ",27
"CHARLENE ALVAREZ",27
"ALLISON STANLEY",27
"TRACEY BARRETT",27
"JENNY CASTRO",27
"VELMA LUCAS",27
"MISTY LAMBERT",27
"ERIC ROBERT",27
"ANDREW PURDY",27
"MARTIN BALES",27
"EARL SHANKS",27
"DALE RATCLIFF",27
"LEE HAWKS",27
"BRADLEY MOTLEY",27
"EDDIE TOMLIN",27
"DEAN SAUER",27
"RICK MATTOX",27
"GENE SANBORN",27
"IAN STILL",27
"CLIFTON MALCOLM",27
"DARYL LARUE",27
"ROSS GREY",27
"VIRGIL WOFFORD",27
"KENT ARSENAULT",27
"EDUARDO HIATT",27
"LINDA WILLIAMS",26
"BRENDA WRIGHT",26
"MARIE TURNER",26
"KATHRYN COLEMAN",26
"DAWN SULLIVAN",26
"EDNA WEST",26
"CARMEN OWENS",26
"JOSEPHINE GOMEZ",26
"APRIL BURNS",26
"VALERIE BLACK",26
"BEATRICE ARNOLD",26
"DOLORES WAGNER",26
"RENEE LANE",26
"CARLA GUTIERREZ",26
"LUCY WHEELER",26
"JESSIE BANKS",26
"WILLIE HOWELL",26
"ARLENE HARVEY",26
"GEORGIA JACOBS",26
"CLAUDIA FULLER",26
"MARLENE WELCH",26
"DEANNA BYRD",26
"BILLIE HORTON",26
"MIRIAM MCKINNEY",26
"SHELLY WATTS",26
"ERIKA PENA",26
"WILLIAM SATTERFIELD",26
"DAVID ROYAL",26
"MARK RINEHART",26
"LARRY THRASHER",26
"KEITH RICO",26
"HOWARD FORTNER",26
"PHILLIP HOLM",26
"JESSE SCHILLING",26
"ALAN KAHN",26
"NORMAN CURRIER",26
"MELVIN ELLINGTON",26
"ALFRED CASILLAS",26
"FRANCIS SIKES",26
"MICHEAL FORMAN",26
"JAY ROBB",26
"DUSTIN GILLETTE",26
"GLEN TALBERT",26
"HECTOR POINDEXTER",26
"CHARLIE BESS",26
"BEN EASTER",26
"CECIL VINES",26
"ELMER NOE",26
"GABRIEL HARDER",26
"CLAYTON BARBEE",26
"IVAN CROMWELL",26
"SERGIO STANFIELD",26
"RENE MCALISTER",26
"DOROTHY TAYLOR",25
"KIMBERLY LEE",25
