Customer_Name,Last_Rental_Date
"HERBERT KRUGER","2005-08-17 00:40:03"
"JOSE ANDREW","2005-08-19 01:38:18"
"VERNON CHAPA","2005-08-19 03:10:21"
"GENE SANBORN","2005-08-19 03:46:43"
"CLYDE TOBIAS","2005-08-19 09:36:28"
"BYRON BOX","2005-08-19 11:27:20"
"JOANN GARDNER","2005-08-20 00:30:51"
"CAROL GARCIA","2005-08-20 01:29:29"
"IDA ANDREWS","2005-08-20 03:35:16"
"KRISTINA CHAMBERS","2005-08-20 08:57:51"
"SIDNEY BURLESON","2005-08-20 08:59:38"
"ANNE POWELL","2005-08-20 10:25:12"
"KENT ARSENAULT","2005-08-20 15:05:42"
"KAY CALDWELL","2005-08-20 16:07:55"
"SAMUEL MARLOW","2005-08-20 20:16:35"
"MINNIE ROMERO","2005-08-20 22:34:34"
"RACHEL BARNES","2005-08-21 03:14:27"
"LEONA OBRIEN","2005-08-21 03:40:40"
"PAULA BRYANT","2005-08-21 03:51:52"
"MARIA MILLER","2005-08-21 04:49:48"
"MARSHALL THORN","2005-08-21 06:00:22"
"BRIAN WYMAN","2005-08-21 06:34:05"
"GLEN TALBERT","2005-08-21 06:44:37"
"JIMMIE EGGLESTON","2005-08-21 06:53:53"
"CASEY MENA","2005-08-21 07:13:46"
"JOY GEORGE","2005-08-21 08:38:21"
"DELORES HANSEN","2005-08-21 08:58:38"
"ROSE HOWARD","2005-08-21 09:08:51"
"CLARENCE GAMEZ","2005-08-21 09:55:47"
"LUCILLE HOLMES","2005-08-21 10:15:20"
"GORDON ALLARD","2005-08-21 10:45:01"
"NELSON CHRISTENSON","2005-08-21 11:40:46"
"SEAN DOUGLASS","2005-08-21 11:51:10"
"ARLENE HARVEY","2005-08-21 12:07:25"
"BRUCE SCHWARZ","2005-08-21 12:51:49"
"ADAM GOOCH","2005-08-21 13:41:14"
"FREDERICK ISBELL","2005-08-21 14:04:39"
"SANDRA MARTIN","2005-08-21 14:45:34"
"ROBERTA HARPER","2005-08-21 14:51:35"
"AMY LOPEZ","2005-08-21 16:32:32"
"HERMAN DEVORE","2005-08-21 17:15:33"
